Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
OO,6625,DEN,BZN,3,475,110,0
UA,311,EWR,DEN,3,475,279,0
WN,682,DEN,PHX,3,475,125,0
OO,6698,PDX,DEN,3,477,145,0
AS,677,DEN,SEA,3,480,175,0
OO,6638,RKS,DEN,3,480,85,0
OO,6736,DEN,RAP,3,480,67,0
OO,6767,RAP,DEN,3,480,76,0
OO,7046,DRO,DEN,3,480,76,1
UA,316,SNA,DEN,3,480,152,0
UA,361,LGA,DEN,3,480,276,0
US,71,DEN,PHX,3,480,135,0
WN,1687,DEN,SLC,3,480,90,0
WN,2461,PHL,DEN,3,480,285,1
OO,6745,BUR,DEN,3,483,136,0
DL,1610,DEN,DTW,3,485,169,0
MQ,3815,ORD,DEN,3,485,160,0
OO,6583,DEN,COS,3,485,32,0
WN,3771,DEN,MDW,3,485,135,0
WN,912,SNA,DEN,3,485,140,1
UA,744,DEN,BOS,3,487,227,0
UA,738,DEN,MCO,3,488,213,0
OO,6593,DEN,BIL,3,490,95,0
UA,243,DEN,LAS,3,490,123,0
WN,647,DEN,TUL,3,490,90,1
F9,179,DEN,TUS,3,491,114,1
OO,6982,DEN,CPR,3,492,57,0
UA,418,SAN,DEN,3,492,148,0
UA,491,DEN,PHX,3,492,129,0
UA,579,DSM,DEN,3,492,123,0
UA,988,DEN,LAX,3,492,154,0
F9,765,DEN,LAS,3,493,114,1
UA,228,DEN,DFW,3,493,119,0
UA,358,DEN,LGA,3,493,225,0
UA,869,DEN,SFO,3,494,176,0
F9,847,DEN,SEA,3,495,176,1
OO,6447,HSV,DEN,3,495,197,0
UA,471,DEN,SAN,3,495,148,1
WN,1678,BOS,DEN,3,495,295,1
F9,772,LAS,DEN,3,497,108,0
OO,6886,GJT,DEN,3,497,59,0
UA,977,IAD,DEN,3,499,255,1
DL,1517,ATL,DEN,3,500,213,1
OO,6742,ASE,DEN,3,500,55,0
OO,6837,DEN,DRO,3,500,62,0
OO,6860,DEN,ABQ,3,500,74,1
OO,6880,DEN,SLC,3,500,101,0
UA,660,LAS,DEN,3,501,121,0
OO,7052,DEN,BOI,3,502,128,0
F9,262,DEN,SNA,3,503,143,0
F9,791,DEN,PDX,3,503,169,1
OO,6555,DEN,GJT,3,504,58,0
CO,229,DEN,EWR,3,505,225,1
F9,225,DEN,SMF,3,505,154,1
F9,653,DEN,SFO,3,505,161,1
OO,7037,DEN,TUS,3,505,117,0
UA,43,IAH,DEN,3,505,161,0
WN,317,DEN,BOI,3,505,125,0
OO,6647,DEN,IAH,3,506,143,1
UA,752,DEN,BWI,3,506,204,0
OO,6876,DEN,PDX,3,507,172,0
OO,7044,DEN,OMA,3,509,84,0
UA,558,LAX,DEN,3,509,145,0
CO,398,DEN,IAH,3,510,141,1
F9,377,MKE,DEN,3,510,155,1
F9,386,DEN,FLL,3,510,227,0
F9,533,DEN,MDW,3,510,138,0
F9,557,DEN,SAN,3,510,142,1
OO,4590,SLC,DEN,3,510,85,1
UA,875,DEN,SEA,3,510,183,0
WN,160,FLL,DEN,3,510,280,0
OO,6731,MKE,DEN,3,511,185,1
AA,1534,DEN,DFW,3,515,120,0
F9,794,PDX,DEN,3,515,143,0
UA,758,SFO,DEN,3,515,149,0
WN,109,DEN,SEA,3,515,185,1
WN,1122,DEN,OAK,3,515,175,1
WN,1135,BDL,DEN,3,515,275,1
WN,1615,DEN,SFO,3,515,175,1
WN,2807,DEN,ONT,3,515,140,1
WN,598,DEN,GEG,3,515,150,1
WN,735,DEN,PDX,3,515,175,1
UA,581,DEN,IAD,3,517,198,0
UA,910,DEN,ORD,3,517,143,0
F9,505,LGA,DEN,3,520,272,1
WN,1481,DEN,SAN,3,520,145,1
WN,752,DEN,SNA,3,520,155,1
F9,677,MCO,DEN,3,522,243,0
UA,369,SAT,DEN,3,522,144,1
OO,6664,MSO,DEN,3,523,123,0
OO,6738,DEN,MCI,3,524,96,0
OO,6990,PIA,DEN,3,524,157,0
AA,2065,DFW,DEN,3,525,125,1
CO,799,IAH,DEN,3,525,158,1
DL,1716,DEN,ATL,3,525,178,0
DL,2215,DTW,DEN,3,525,203,1
F9,403,DEN,LAX,3,525,146,1
F9,721,DCA,DEN,3,525,248,0
OO,6872,MOT,DEN,3,525,97,0
UA,456,MSP,DEN,3,525,141,0
F9,361,TPA,DEN,3,526,239,0
UA,675,ORD,DEN,3,527,170,0
OO,6328,TUS,DEN,3,529,120,1
OO,6607,MEM,DEN,3,529,169,0
AA,1126,DEN,MIA,3,530,225,1
CO,628,EWR,DEN,3,530,282,1
F9,844,SEA,DEN,3,530,151,0
OO,4507,DEN,SLC,3,530,95,0
OO,6957,MAF,DEN,3,530,118,0
WN,1075,ABQ,DEN,3,530,75,1
WN,214,DEN,LAS,3,530,120,1
OO,6595,SLC,DEN,3,534,100,0
OO,6532,CLE,DEN,3,535,206,1
OO,6895,LIT,DEN,3,535,156,1
WN,949,MCO,DEN,3,535,255,1
CO,1421,CLE,DEN,3,540,205,1
UA,534,PHX,DEN,3,540,120,0
WN,1684,TPA,DEN,3,540,250,0
WN,3658,RDU,DEN,3,540,250,1
WN,869,AMA,DEN,3,540,80,1
UA,33,DEN,SNA,3,541,157,0
OO,6733,TYS,DEN,3,543,214,1
F9,400,LAX,DEN,3,545,140,1
F9,618,PHX,DEN,3,545,105,0
WN,2357,SLC,DEN,3,545,90,0
WN,703,DEN,SMF,3,545,160,1
OO,6540,DEN,PSP,3,546,136,1
OO,6920,COS,DEN,3,547,49,0
DL,1496,DEN,MSP,3,550,121,0
WN,1126,PHX,DEN,3,550,110,1
WN,661,DEN,MDW,3,550,140,1
OO,6878,DEN,SJC,3,551,162,0
DL,1509,MSP,DEN,3,555,125,0
WN,3512,DEN,STL,3,555,120,0
OO,6881,DEN,SMF,3,556,156,1
DL,1459,CVG,DEN,3,560,197,1
OO,6685,CID,DEN,3,560,145,1
UA,315,DFW,DEN,3,560,136,0
WN,1006,DEN,ABQ,3,560,70,1
WN,1264,LAS,DEN,3,560,115,1
WN,200,DEN,SJC,3,560,170,0
US,1525,CLT,DEN,3,564,223,1
OO,6681,XNA,DEN,3,565,123,0
WN,2885,DEN,TUS,3,565,115,1
MQ,3001,LAX,DEN,3,570,140,0
UA,427,IAD,DEN,3,572,241,1
OO,6296,DEN,ONT,3,573,142,0
OO,6736,RAP,DEN,3,574,76,0
WN,741,SFO,DEN,3,575,150,1
UA,441,BWI,DEN,3,576,247,0
OO,6982,CPR,DEN,3,579,59,0
WN,1017,MCI,DEN,3,580,120,1
OO,6634,OMA,DEN,3,581,108,0
UA,709,ORD,DEN,3,583,167,0
CO,720,DEN,CLE,3,585,163,1
OO,4818,SLC,DEN,3,585,85,0
OO,6617,OKC,DEN,3,585,106,0
US,486,PHX,DEN,3,585,109,0
WN,221,DEN,PHX,3,585,120,1
F9,762,LAS,DEN,3,587,110,0
OO,6837,DRO,DEN,3,588,62,1
WN,748,DEN,OKC,3,590,90,1
WN,869,DEN,LAX,3,590,155,1
OO,6555,GJT,DEN,3,592,58,0
UA,133,LAS,DEN,3,593,117,0
F9,783,DEN,LAS,3,595,113,0
OO,6688,ICT,DEN,3,595,96,0
WN,987,MDW,DEN,3,595,165,1
UA,731,EWR,DEN,3,597,268,1
OO,6482,DEN,COS,3,600,38,0
OO,6583,COS,DEN,3,600,49,1
WN,3763,SLC,DEN,3,600,90,0
OO,6860,ABQ,DEN,3,604,76,1
UA,410,DEN,CMH,3,605,163,0
OO,6251,DEN,MSN,3,606,129,0
OO,6542,DEN,DRO,3,606,64,0
OO,6544,DEN,ASE,3,606,45,1
OO,6695,DEN,ELP,3,606,109,0
OO,6742,DEN,CLE,3,606,172,0
OO,6968,BOI,DEN,3,606,108,1
UA,299,DEN,MCI,3,606,104,1
UA,740,DEN,MSY,3,607,160,1
UA,785,BOS,DEN,3,607,287,0
OO,6668,DEN,FAR,3,608,113,0
OO,6722,DEN,TYS,3,608,158,0
UA,264,DEN,PHL,3,609,214,1
AA,1241,DFW,DEN,3,610,125,0
FL,303,ATL,DEN,3,610,215,1
OO,6590,DEN,MEM,3,610,136,0
OO,6632,DEN,SGF,3,610,107,1
UA,802,DEN,MCO,3,610,218,1
WN,153,DEN,IND,3,610,145,1
WN,354,OAK,DEN,3,610,145,1
OO,6484,DEN,ATW,3,611,140,0
OO,6604,DEN,ATL,3,611,174,1
OO,6625,BZN,DEN,3,611,96,0
F9,659,MSP,DEN,3,612,130,0
OO,6593,BIL,DEN,3,612,88,0
OO,6974,DEN,MKE,3,612,143,0
OO,7046,DEN,TUL,3,612,90,1
OO,6700,DEN,LNK,3,614,80,1
OO,6724,DEN,AUS,3,614,124,0
WN,958,SAN,DEN,3,615,135,0
OO,7048,DEN,ICT,3,616,80,0
UA,415,DEN,SFO,3,616,174,0
UA,697,DEN,LAS,3,616,123,0
OO,6541,DEN,BIS,3,617,95,0
OO,6718,DEN,XNA,3,618,102,0
UA,362,DEN,FSD,3,618,98,0
UA,592,DEN,MSP,3,618,122,0
OO,6627,MSN,DEN,3,619,168,1
UA,576,DEN,OKC,3,619,97,0
MQ,3816,DEN,ORD,3,620,145,0
OO,6479,DEN,PIT,3,620,175,0
OO,6872,DEN,PHX,3,620,124,0
UA,405,LGA,DEN,3,620,272,1
WN,1762,DEN,DTW,3,620,170,1
WN,1945,DEN,MSY,3,620,155,1
WN,324,DEN,MCI,3,620,90,0
WN,370,LAX,DEN,3,620,135,0
WN,380,DEN,MSP,3,620,125,0
WN,459,DEN,OMA,3,620,80,0
WN,496,DEN,IAD,3,620,195,1
UA,422,DEN,EWR,3,621,225,1
UA,791,DEN,DSM,3,621,105,0
OO,6242,DEN,OMA,3,623,84,1
OO,4614,DEN,SLC,3,625,97,1
US,1524,DEN,CLT,3,625,188,0
F9,234,SNA,DEN,3,626,129,0
UA,112,DEN,TPA,3,626,206,0
UA,18,DEN,BWI,3,626,202,0
UA,244,DEN,ORD,3,626,143,0
OO,6570,DEN,HSV,3,628,148,0
OO,6735,DEN,MSO,3,628,133,0
F9,420,DEN,ATL,3,629,174,1
OO,6880,SLC,DEN,3,629,85,0
F9,123,DFW,DEN,3,630,121,0
F9,232,DEN,BNA,3,630,150,1
F9,370,DEN,MKE,3,630,133,1
OO,7028,DEN,SAT,3,630,128,0
WN,126,DEN,AUS,3,630,125,1
WN,134,DEN,TPA,3,630,210,0
DL,1816,DEN,ATL,3,633,172,1
F9,106,DEN,MSP,3,635,116,0
F9,130,DEN,DFW,3,635,112,0
F9,825,DEN,MCI,3,635,95,0
UA,69,DEN,LAX,3,635,155,0
WN,1980,BWI,DEN,3,635,260,1
WN,530,HOU,DEN,3,635,150,1
WN,973,DEN,BNA,3,635,145,1
OO,6656,DEN,BNA,3,639,150,0
AA,1034,DEN,DFW,3,640,120,1
F9,367,MKE,DEN,3,640,155,0
F9,448,DEN,PHL,3,640,209,1
F9,674,DEN,MCO,3,640,212,0
WN,518,SNA,DEN,3,640,135,0
OO,6960,DEN,RAP,3,643,69,0
F9,178,TUS,DEN,3,645,107,1
F9,191,DEN,DAY,3,645,155,0
F9,510,DEN,LGA,3,645,221,1
UA,902,DEN,IAD,3,645,197,0
UA,32,DEN,BOS,3,646,233,0
UA,812,DEN,DFW,3,646,119,0
F9,350,DEN,PHF,3,650,215,1
F9,623,DEN,DTW,3,650,164,0
UA,756,DEN,IAH,3,650,150,0
F9,846,SEA,DEN,3,651,150,1
OO,6497,DEN,LIT,3,651,125,0
UA,484,DEN,DCA,3,653,195,1
F9,654,SFO,DEN,3,654,146,0
B6,496,DEN,BOS,3,655,223,0
F9,212,DEN,AUS,3,655,123,0
OO,6628,DEN,BHM,3,656,147,1
DL,1717,ATL,DEN,3,660,207,0
DL,2830,DEN,MSP,3,660,115,0
F9,226,SMF,DEN,3,660,134,1
F9,404,LAX,DEN,3,660,134,1
F9,516,PDX,DEN,3,660,142,1
F9,558,SAN,DEN,3,660,133,0
WN,2357,DEN,BOS,3,660,225,1
OO,4700,SLC,DEN,3,663,87,1
OO,6990,DEN,MAF,3,664,96,1
OO,6441,DEN,DAY,3,665,159,0
UA,310,DEN,LGA,3,665,223,1
WN,3401,DEN,SAT,3,665,130,1
UA,279,ORD,DEN,3,666,165,0
WN,196,SEA,DEN,3,670,160,1
WN,731,DEN,PHL,3,670,220,1
OO,7027,COS,DEN,3,672,40,0
DL,2090,DEN,JFK,3,673,237,1
WN,2461,DEN,AMA,3,675,70,1
OO,6942,DEN,COS,3,676,38,0
OO,6615,DEN,GTF,3,677,120,0
OO,7050,DEN,GCC,3,677,91,0
OO,6981,DEN,TUS,3,678,120,1
UA,450,SNA,DEN,3,678,139,0
UA,721,DEN,SFO,3,678,174,1
OO,6258,DEN,EGE,3,679,45,1
OO,7044,OMA,DEN,3,679,97,0
US,962,DEN,PHL,3,680,208,0
WN,1115,MSP,DEN,3,680,135,1
OO,6296,ONT,DEN,3,681,137,0
OO,6532,DEN,BUR,3,681,153,1
OO,6927,DEN,HLN,3,681,116,1
OO,6544,ASE,DEN,3,682,45,1
OO,6726,DEN,JAC,3,682,93,1
UA,862,SFO,DEN,3,682,152,0
OO,6876,PDX,DEN,3,683,145,1
UA,876,SEA,DEN,3,683,152,1
OO,6297,PSP,DEN,3,684,131,0
OO,6377,DEN,CPR,3,684,60,0
AA,1847,DFW,DEN,3,685,125,0
DL,1510,DEN,DTW,3,685,170,0
UA,743,DEN,GEG,3,685,151,0
WN,2092,STL,DEN,3,685,150,1
OO,6534,DEN,IDA,3,686,100,0
UA,936,DEN,IAD,3,686,195,0
OO,6573,DEN,HDN,3,687,51,1
OO,6765,DEN,BZN,3,687,113,0
OO,6881,SMF,DEN,3,687,137,1
F9,784,LAS,DEN,3,688,112,0
OO,6574,RDM,DEN,3,688,136,1
OO,6606,DEN,MLI,3,688,120,0
UA,342,SAN,DEN,3,688,142,0
OO,6527,DEN,MTJ,3,689,56,0
OO,6878,SJC,DEN,3,689,145,0
UA,579,DEN,BIL,3,689,93,0
UA,814,LAX,DEN,3,689,145,0
F9,362,DEN,SDF,3,690,143,0
F9,618,DEN,IND,3,690,137,0
OO,6733,DEN,RNO,3,690,139,0
UA,301,DEN,LAS,3,690,122,0
UA,339,DEN,SEA,3,690,183,1
WN,1952,LAX,DEN,3,690,135,1
WN,3138,IND,DEN,3,690,185,1
OO,6621,GEG,DEN,3,691,134,0
OO,6560,AUS,DEN,3,692,134,1
OO,6734,DEN,CID,3,692,111,1
OO,6626,DEN,PSP,3,693,133,1
CO,58,DEN,IAH,3,695,139,1
DL,1809,MSP,DEN,3,695,127,0
OO,6611,DEN,PHX,3,695,111,0
UA,259,MCO,DEN,3,695,253,0
UA,367,IAH,DEN,3,695,156,0
UA,763,DEN,SAN,3,695,149,1
WN,2855,DEN,LAS,3,695,120,1
OO,6542,DRO,DEN,3,696,58,0
UA,403,DEN,SNA,3,696,157,0
OO,6337,DEN,GJT,3,697,58,1
F9,358,DEN,TPA,3,700,204,1
F9,531,DEN,MDW,3,700,135,0
OO,4583,DEN,SLC,3,700,89,0
F9,724,DEN,DCA,3,705,193,0
UA,369,DEN,PDX,3,705,178,1
WN,1135,DEN,OAK,3,705,170,1
WN,160,DEN,SMF,3,705,160,0
WN,1678,DEN,RNO,3,705,145,1
WN,1684,DEN,PDX,3,705,175,0
WN,3421,MDW,DEN,3,705,160,1
WN,3658,DEN,SJC,3,705,165,0
WN,949,DEN,SLC,3,705,90,0
DL,1316,DEN,ATL,3,707,173,1
F9,146,DEN,HOU,3,707,137,1
UA,227,DEN,LAX,3,707,156,1
UA,315,DEN,ONT,3,707,145,0
OO,6926,RNO,DEN,3,708,134,0
US,487,CLT,DEN,3,710,234,0
OO,6636,PSC,DEN,3,712,131,1
UA,956,DEN,ORD,3,712,144,1
OO,6663,DEN,EUG,3,713,173,0
UA,43,DEN,HNL,3,714,458,0
DL,1411,DTW,DEN,3,715,190,0
UA,503,DFW,DEN,3,716,128,0
UA,267,ORD,DEN,3,717,158,1
OO,6823,BOI,DEN,3,719,108,1
OO,6937,DEN,DRO,3,719,64,1
UA,98,LAS,DEN,3,719,117,0
AA,806,DEN,DFW,3,720,115,0
WN,912,DEN,FLL,3,720,230,0
AS,675,DEN,SEA,3,725,172,0
MQ,3044,LAX,DEN,3,725,140,0
US,1630,DEN,CLT,3,725,183,0
WN,3763,DEN,BWI,3,725,200,1
OO,6361,FAR,DEN,3,726,118,1
UA,245,DEN,SJC,3,728,166,0
OO,6685,DEN,BOI,3,730,128,1
UA,781,MCI,DEN,3,730,114,1
OO,6563,DEN,ASE,3,732,44,1
FL,642,MKE,DEN,3,733,160,0
OO,6257,TUL,DEN,3,733,106,1
UA,103,DEN,SMF,3,733,162,1
UA,561,DEN,OAK,3,733,168,0
US,662,DEN,PHX,3,733,112,0
F9,505,DEN,SEA,3,735,173,0
F9,659,DEN,SFO,3,735,157,0
MQ,3702,ORD,DEN,3,735,160,1
WN,1657,MCI,DEN,3,735,110,1
WN,987,DEN,PHX,3,735,115,1
OO,6960,RAP,DEN,3,738,69,0
WN,1383,SLC,DEN,3,740,85,1
OO,6695,ELP,DEN,3,741,108,0
UA,517,IAD,DEN,3,742,233,1
OO,6942,COS,DEN,3,744,40,0
CO,629,DEN,EWR,3,745,226,1
FL,305,DEN,ATL,3,745,170,0
WN,2004,MDW,DEN,3,745,160,1
WN,300,LAS,DEN,3,745,115,1
OO,6614,DEN,PSC,3,746,153,0
OO,6675,DEN,FAT,3,746,145,1
OO,6762,DEN,SBA,3,746,153,0
WN,1065,BNA,DEN,3,750,180,1
WN,530,DEN,MDW,3,750,140,1
UA,386,DEN,BOS,3,751,226,1
OO,6597,DEN,AUS,3,754,128,0
UA,300,DEN,DSM,3,754,99,0
UA,534,DEN,BWI,3,754,201,0
UA,660,DEN,EWR,3,754,225,1
AA,1259,DFW,DEN,3,755,125,0
OO,6258,EGE,DEN,3,755,53,1
OO,6871,DEN,MOT,3,755,102,1
UA,908,DEN,ORD,3,755,143,0
WN,1185,SFO,DEN,3,755,150,0
WN,351,SAN,DEN,3,755,135,1
WN,3920,OKC,DEN,3,755,100,1
UA,848,DEN,IAH,3,756,144,0
UA,558,DEN,TPA,3,759,203,0
F9,795,DEN,PDX,3,760,164,1
OO,4518,SLC,DEN,3,760,83,0
OO,6988,DEN,COS,3,764,35,0
UA,20,DEN,TUL,3,764,97,0
UA,316,DEN,IAD,3,764,195,0
UA,598,DEN,MCI,3,764,97,0
F9,530,MDW,DEN,3,765,155,0
WN,429,LAX,DEN,3,765,135,1
UA,270,DEN,MCO,3,767,205,0
OO,6573,HDN,DEN,3,769,56,1
OO,6377,CPR,DEN,3,770,55,0
OO,6950,PHX,DEN,3,770,103,1
WN,1264,DEN,HOU,3,770,140,1
WN,759,ABQ,DEN,3,770,75,1
OO,6527,MTJ,DEN,3,773,54,0
WN,3311,AUS,DEN,3,775,140,1
WN,484,PHX,DEN,3,775,105,1
UA,753,SFO,DEN,3,778,156,1
F9,260,DEN,SNA,3,780,140,0
OO,4621,DEN,SLC,3,780,90,1
OO,6700,LNK,DEN,3,780,92,1
WN,1167,PDX,DEN,3,780,145,1
WN,778,SJC,DEN,3,780,145,1
WN,842,DEN,MSP,3,780,120,0
UA,336,LAX,DEN,3,781,145,0
OO,6643,DEN,RAP,3,782,69,1
OO,7048,ICT,DEN,3,782,90,0
OO,6337,GJT,DEN,3,783,57,1
AS,672,SEA,DEN,3,785,155,0
CO,298,DEN,IAH,3,785,138,1
WN,174,SMF,DEN,3,785,140,0
WN,3138,DEN,SAN,3,785,145,0
WN,546,OMA,DEN,3,785,100,1
WN,899,OAK,DEN,3,785,140,1
OO,7050,GCC,DEN,3,788,92,1
DL,1916,DEN,ATL,3,790,174,1
F9,413,DEN,LAX,3,790,142,0
F9,561,DEN,SAN,3,790,137,0
F9,857,DEN,PHX,3,790,108,1
WN,368,PHL,DEN,3,790,280,1
WN,705,TUL,DEN,3,790,110,1
OO,6735,MSO,DEN,3,792,112,0
